id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle;lernfeld
FISI-SEC-012;ALLE;IT-SEC-GRUND;Kryptographie;SC;Wozu dient ein Salt beim Speichern von Passwort-Hashes?;Um identische Passwörter unterschiedlich zu hashen;Um den Hash zu komprimieren;Um den Hash zu verschlüsseln;Um das Passwort zu verkürzen;a;Ein Salt ist ein zufälliger Zusatzwert, sodass gleiche Passwörter unterschiedliche Hashes erzeugen.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-014;ALLE;IT-SEC-GRUND;Absicherung;SC;Was besagt das Prinzip der minimalen Rechte (Least Privilege)?;Benutzer erhalten nur die für ihre Aufgabe nötigen Rechte;Alle Benutzer erhalten Administratorrechte;Rechte werden nie entzogen;Jeder Nutzer hat eigene Hardware;a;Nach dem Least-Privilege-Prinzip werden nur die minimal erforderlichen Berechtigungen vergeben, um Schäden zu begrenzen.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-015;ALLE;IT-SEC-GRUND;Bedrohungen;SC;Was bezeichnet Social Engineering?;Das gezielte Ausnutzen menschlicher Vertrauensbereitschaft zur Informationsgewinnung;Das Ausnutzen von Softwarefehlern;Das Abhören von Netzwerkverkehr;Das Verschlüsseln von Daten;a;Beim Social Engineering werden Menschen manipuliert, um vertrauliche Informationen oder Zugänge preiszugeben.;leicht;Rahmenlehrplan FISI;LF4
FISI-SEC-016;ALLE;IT-SEC-GRUND;Schutzziele;MC;Welche Schutzziele gehören zur Informationssicherheit?;Vertraulichkeit;Integrität;Verfügbarkeit;Redundanzfreiheit;a,b,c;Die drei Schutzziele sind Vertraulichkeit, Integrität und Verfügbarkeit.;leicht;Rahmenlehrplan FISI;LF4
FISI-SEC-017;ALLE;IT-SEC-GRUND;Angriffe;SC;Was ist Phishing?;Das Erschleichen vertraulicher Daten über gefälschte Nachrichten;Das Ausspähen von Funknetzen;Das Verschleiern der IP-Adresse;Das Verschlüsseln von Festplatten;a;Beim Phishing werden Nachrichten und Webseiten gefälscht, um Zugangsdaten oder Zahlungen zu erlangen.;leicht;Rahmenlehrplan FISI;LF4
FISI-SEC-018;ALLE;IT-SEC-GRUND;Angriffe;SC;Was ist Ransomware?;Schadsoftware, die Daten verschlüsselt und Lösegeld fordert;Software zur Verschlüsselung von E-Mails;Ein Netzwerkanalysator;Ein Backup-Werkzeug;a;Ransomware verschlüsselt Daten und erpresst Zahlungen. Backups und Patchmanagement sind zentrale Schutzmaßnahmen.;leicht;Rahmenlehrplan FISI;LF4
FISI-SEC-019;ALLE;IT-SEC-GRUND;Angriffe;SC;Was ist ein DoS-Angriff?;Die gezielte Überlastung eines Dienstes;Das Erraten von Passwörtern;Das Abhören von Kabeln;Das Löschen von Protokolldateien;a;Bei einem Denial-of-Service-Angriff wird ein Dienst so überlastet, dass er nicht mehr verfügbar ist.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-020;ALLE;IT-SEC-GRUND;Verschlüsselung;SC;Was kennzeichnet ein symmetrisches Verfahren?;Senden und Empfangen nutzen denselben Schlüssel;Es gibt einen öffentlichen und einen privaten Schlüssel;Es wird kein Schlüssel benötigt;Es eignet sich nur für Signaturen;a;Symmetrische Verfahren wie AES verwenden einen gemeinsamen Schlüssel, der sicher verteilt werden muss.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-021;ALLE;IT-SEC-GRUND;Verschlüsselung;SC;Wozu dient ein digitales Zertifikat?;Zum Binden eines öffentlichen Schlüssels an eine Identität;Zum Verschlüsseln mit AES;Zum Signieren von E-Mails;Zum Erzeugen von Prüfsummen;a;Ein Zertifikat wird von einer Zertifizierungsstelle ausgestellt und bestätigt, dass ein öffentlicher Schlüssel zu einer Identität gehört.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-022;ALLE;IT-SEC-GRUND;TLS;SC;Was sichert HTTPS mit TLS?;Vertraulichkeit und Integrität der Webkommunikation;Die Verfügbarkeit des Servers;Die Richtigkeit der Inhalte;Die Geschwindigkeit der Übertragung;a;TLS verschlüsselt die Übertragung und sichert Integrität sowie Authentizität über Zertifikate.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-023;ALLE;IT-SEC-GRUND;Hashing;FT;Wie heißt das Verfahren, das aus Daten einen Prüfwert fester Länge ohne Rückrechnung erzeugt?;;;;;Hash|Hashing|Hashwert|Hashfunktion;Eine Hashfunktion erzeugt aus beliebigen Daten einen Wert fester Länge. Sie dient Integritätsprüfungen und der Passwortspeicherung.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-024;ALLE;IT-SEC-GRUND;Passwörter;SC;Wie sollten Passwörter gespeichert werden?;Als gesalzener Hash mit einem langsamen Verfahren;Im Klartext;Verschlüsselt mit einem festen Schlüssel im Quellcode;Als Base64-Kodierung;a;Passwörter werden mit Salt und einem langsamen Verfahren wie bcrypt oder Argon2 gehasht.;schwer;Rahmenlehrplan FISI;LF4
FISI-SEC-027;ALLE;IT-SEC-GRUND;Notfallvorsorge;MC;Welche Regeln gelten für eine gute Backup-Strategie?;Drei Kopien der Daten;Zwei verschiedene Speichermedien;Eine Kopie an einem anderen Ort;Alle Kopien auf demselben Server;a,b,c;Die 3-2-1-Regel fordert drei Kopien, zwei Medientypen und eine Kopie an einem externen Ort.;mittel;Rahmenlehrplan FISI;LF4
FISI-SEC-028;ALLE;IT-SEC-GRUND;Social Engineering;SC;Was versteht man unter Social Engineering?;Hacken von WLAN;Psychologische Manipulation von Menschen;Virenerstellung;Ausnutzen von Softwarefehlern zum Systemzugriff;b;Menschliche Schwachstellen werden ausgenutzt, um an Infos zu kommen.;mittel;IHK;LF4
FISI-SEC-029;ALLE;IT-SEC-GRUND;Konzepte;SC;Worin unterscheiden sich Integrität und Authentizität?;Integrität sichert Unversehrtheit;Authentizität ist Verschlüsselung;Kein Unterschied;Authentizität sichert die Vertraulichkeit der Daten;a;Integrität garantiert, dass Daten nicht verändert wurden.;schwer;IHK;LF4
FISI-SEC-030;ALLE;IT-SEC-GRUND;Krypto;SC;Welchen Vorteil bietet die asymmetrische Verschlüsselung?;Schneller als symmetrisch;Kein Schlüsseltausch über unsicheren Kanal nötig;Nur ein Schlüssel nötig;Ermöglicht eine höhere Datenkompression;b;Public und Private Key ermöglichen sichere Kommunikation ohne Vorabaustausch.;schwer;IHK;LF4
FISI-SEC-031;ALLE;IT-SEC-GRUND;DSGVO;SC;Was ist das Primärziel der DSGVO?;Schutz von Firmengeheimnissen;Schutz personenbezogener Daten natürlicher Personen;Überwachung;Regelung der IT-Sicherheitszertifizierung;b;Die DSGVO regelt den Umgang mit privaten Daten in der EU.;leicht;IHK;LF4
FISI-SEC-033;ALLE;IT-SEC-GRUND;Methoden;SC;Was ist Pentesting?;Kauf von Software;Simulierter Angriff zur Schwachstellensuche;Einrichten einer Firewall;Regelmäßige Aktualisierung der Antivirensoftware;b;Penetrationstests prüfen die Sicherheit eines Systems aktiv.;mittel;IHK;LF4
FISI-SEC-034;ALLE;IT-SEC-GRUND;Krypto;SC;Was ist ein Salt?;Ein Passwort;Zufällige Daten, die vor dem Hashen an das Passwort gehängt werden;Ein Virus;Ein Verschlüsselungsalgorithmus für Datenbanken;b;Salts schützen vor Rainbow-Table-Angriffen.;schwer;IHK;LF4
FISI-SEC-035;ALLE;IT-SEC-GRUND;Backup;SC;Was ist ein Snapshot?;Ein Foto vom PC;Sicherung eines Systemzustands zu einem bestimmten Zeitpunkt;Ein Hardware-Backup;Automatisches Löschen alter Dateien;b;Snapshots werden oft bei virtuellen Maschinen genutzt.;mittel;IHK;LF4
FISI-SEC-036;ALLE;IT-SEC-GRUND;Malware;SC;Welche Maßnahme hilft am wirksamsten gegen die Folgen eines Ransomware-Befalls?;Regelmäßige, getrennt aufbewahrte Backups;Ein längeres Administrator-Passwort;Das Löschen aller E-Mails älter als ein Jahr;Die Deaktivierung von Windows-Updates;a;Aktuelle, vom System getrennte Backups ermöglichen die Wiederherstellung der Daten, ohne Lösegeld zu zahlen.;leicht;IHK;LF4
FISI-SEC-037;ALLE;IT-SEC-GRUND;Login;SC;Was ist 2FA?;Zwei Passwörter;Kombination aus zwei unabhängigen Faktoren;Zwei Personen Login;Verschlüsselung der Anmeldedaten;b;Erhöht die Sicherheit, da ein Faktor allein (z.B. Passwort) nicht reicht.;leicht;IHK;LF4
FISI-SEC-038;ALLE;IT-SEC-GRUND;Zertifikate;SC;Was ist eine CA?;Grafik-Software;Vertrauenswürdige Instanz für digitale Zertifikate;Virenscanner;Protokoll zur Verschlüsselung von E-Mails;b;Certificate Authorities bestätigen die Identität von Webseiten.;mittel;IHK;LF4
FISI-SEC-039;ALLE;IT-SEC-GRUND;Biometrie;SC;Welches der folgenden biometrischen Verfahren gilt als sicher?;Foto;Irisscan oder Fingerabdruck;Unterschrift;PIN-Code;b;Körpermerkmale sind schwer zu fälschen.;mittel;IHK;LF4
FISI-SEC-040;ALLE;IT-SEC-GRUND;Prinzipien;SC;Was bedeutet das Prinzip der geringsten Rechte (Least Privilege)?;Maximalrechte;Nur minimal notwendige Rechte vergeben;Lange Passwörter;Regelmäßiger Wechsel der Benutzerkonten;b;Reduziert das Risiko bei Fehlern oder Angriffen.;mittel;IHK;LF4
FISI-SEC-042;ALLE;IT-SEC-GRUND;Physisch;SC;Was ist Tailgating?;WLAN Hack;Unbefugtes Folgen durch eine Tür;Browserüberwachung;Abfangen von Datenpaketen im Netzwerk;b;Social Engineering im echten Leben.;mittel;IHK;LF4
FISI-SEC-043;ALLE;IT-SEC-GRUND;Konzepte;SC;Was ist Sandboxing?;Spielplatz;Isolierte Umgebung für Programme;Cloud-Speicher;Verfahren zur Datenkompression;b;Verhindert Schäden am Host-System.;mittel;IHK;LF4
FISI-SEC-044;ALLE;IT-SEC-GRUND;Backup;SC;Was ist ein Vorteil des differenziellen Backups gegenüber dem inkrementellen Backup?;Schneller bei der Erstellung als inkrementell;Schnellere Wiederherstellung, da nur Vollbackup + letztes Differenzial nötig sind;Weniger Platzbedarf als inkrementell;Benötigt kein Vollbackup als Basis;b;Schnellere Wiederherstellung als bei inkrementellen Backups.;mittel;IHK;LF4
FISI-SEC-046;ALLE;IT-SEC-GRUND;Krypto;SC;Worin unterscheiden sich AES und RSA?;AES ist asymmetrisch;AES ist symmetrisch (schnell), RSA asymmetrisch (Schlüsseltausch);RSA ist schneller;Beide Verfahren sind identisch aufgebaut;b;AES wird für große Datenmengen genutzt, RSA oft für den Schlüsseltausch.;schwer;IHK;LF4
FISI-SEC-047;ALLE;IT-SEC-GRUND;Angriffe;SC;Was ist Brute-Force?;Physischer Angriff;Systematisches Durchprobieren aller Passwortkombinationen;Funk-Hacking;Ausnutzen einer Sicherheitslücke im Betriebssystem;b;Lange, komplexe Passwörter schützen vor dieser Methode.;leicht;IHK;LF4
FISI-SEC-048;ALLE;IT-SEC-GRUND;Konzepte;SC;Was ist ein IDS?;Intrusion Detection System (Erkennung);Intrusion Defense Switch;Internet Data Safety;System zur automatischen Blockierung von Angriffen;a;Ein IDS erkennt Angriffe, greift aber (anders als IPS) nicht aktiv ein.;mittel;IHK;LF4
FISI-SEC-049;ALLE;IT-SEC-GRUND;Methoden;SC;Woran lässt sich eine typische Phishing-Mail oft erkennen?;Gefälschter Absender, Rechtschreibfehler und ein dringlicher Aufruf zur Dateneingabe;Sie enthält niemals einen Link;Sie wird ausschließlich von bekannten Kontakten verschickt;Sie ist immer als Newsletter gekennzeichnet;a;Typische Merkmale sind gefälschte Absenderadressen, Drucksprache und Links zu gefälschten Login-Seiten.;leicht;IHK;LF4
FISI-SEC-050;ALLE;IT-SEC-GRUND;Recht;SC;Wer ist für Datenschutz im Betrieb verantwortlich?;Nur der IT-Leiter;Die Geschäftsführung;Der Praktikant;Der Datenschutzbeauftragte allein;b;Die Verantwortung liegt rechtlich immer bei der Leitung.;mittel;IHK;LF4
FISI-SEC-053;ALLE;IT-SEC-GRUND;Krypto;SC;Was ist ein Public Key?;Geheimer Schlüssel;Öffentlicher Schlüssel zum Verschlüsseln von Daten;Ein Passwort;Schlüssel, der nur zum Entschlüsseln verwendet wird;b;Kann jedem zugänglich gemacht werden.;mittel;IHK;LF4
FISI-SEC-054;ALLE;IT-SEC-GRUND;Backup;SC;Was ist das 3-2-1 Prinzip?;3 Kopien, 2 Medien, 1 davon außer Haus;3 Backups pro Tag;1 Backup für 2 Personen;3 Standorte, 2 Administratoren, 1 Cloud-Anbieter;a;Standardstrategie für Datensicherheit.;mittel;IHK;LF4
FISI-SEC-055;ALLE;IT-SEC-GRUND;Malware;SC;Was ist ein Keylogger?;Passwortmanager;Schadprogramm, das Tastatureingaben aufzeichnet;Verschlüsselung;Programm zur Überwachung des Netzwerkverkehrs;b;Dient zum Diebstahl von Zugangsdaten und Passwörtern.;leicht;IHK;LF4
FISI-SEC-056;ALLE;IT-SEC-GRUND;Physik;SC;Was ist eine USV (Online)?;Lädt nur bei Bedarf;Verbraucher wird permanent über den Wechselrichter gespeist;Billig-Variante;Schaltet erst bei Stromausfall auf Batteriebetrieb um;b;Bietet den besten Schutz vor Spannungsschwankungen.;schwer;IHK;LF4
FISI-SEC-058;ALLE;IT-SEC-GRUND;Methoden;SC;Was ist Steganographie?;Passwort-Hacking;Verbergen von Informationen in anderen Daten (z.B. Bildern);Virenerstellung;Verschlüsselung von Datenbankinhalten;b;Die Existenz der Nachricht selbst wird geheim gehalten.;schwer;IHK;LF4
FISI-SEC-059;ALLE;IT-SEC-GRUND;Angriffe;SC;Was unterscheidet einen DDoS- von einem klassischen DoS-Angriff?;Beim DDoS greifen viele verteilte Systeme gleichzeitig an, beim DoS nur ein einzelnes System;DDoS betrifft nur interne Netze, DoS nur externe;DDoS ist immer legal, DoS nicht;Es gibt inhaltlich keinen Unterschied;a;DDoS (Distributed Denial of Service) nutzt viele verteilte Quellen (z. B. ein Botnetz), ein klassischer DoS-Angriff kommt von einem einzelnen System.;leicht;IHK;LF4
FISI-SEC-060;ALLE;IT-SEC-GRUND;Verschlüsselung;SC;Was ist TLS?;Dateisystem;Nachfolger von SSL zur Verschlüsselung von Internetverbindungen;Neuer Port;Protokoll zur Verwaltung von IP-Adressen;b;Wird für HTTPS-Verbindungen genutzt.;mittel;IHK;LF4
FISI-SEC-061;ALLE;IT-SEC-GRUND;Malware;SC;Was ist eine Logic Bomb?;Ein Hardware-Fehler;Schadcode, der bei einem bestimmten Ereignis ausgelöst wird;Ein lauter Alarm;Schadprogramm, das sich selbstständig über das Netzwerk verbreitet;b;Wird oft von Innentätern (z.B. gefeuerten Admins) genutzt.;schwer;IHK;LF4
FISI-SEC-062;ALLE;IT-SEC-GRUND;Authentifizierung;SC;Was ist Biometrie-Falsch-Akzeptanz?;System erkennt berechtigte Person nicht;System lässt unberechtigte Person fälschlicherweise rein;Passwort vergessen;System benötigt zu lange für die Erkennung;b;Die FAR (False Acceptance Rate) ist ein Sicherheitsmerkmal.;schwer;IHK;LF4
FISI-SEC-063;ALLE;IT-SEC-GRUND;Web;SC;Was ist Cross-Site Scripting (XSS)?;Ein neuer Browser;Einschleusen von schädlichen Skripten in vertrauenswürdige Websites;Ein schnellerer Server;Ausnutzen von Schwachstellen in Datenbankabfragen;b;Gefahr für Nutzerdaten (Cookies, Sessions).;schwer;IHK;LF4
FISI-SEC-064;ALLE;IT-SEC-GRUND;Backup;SC;Was ist ein Desaster Recovery Plan?;Ein Backup-Tool;Strategie zur Wiederherstellung der IT nach einem Totalausfall;Ein Antiviren-Programm;Dokumentation der IT-Infrastruktur;b;Regelt Abläufe bei Brand, Flut oder großem Cyberangriff.;mittel;IHK;LF4
FISI-SEC-065;ALLE;IT-SEC-GRUND;Zertifikate;SC;Was ist der Unterschied zwischen SSL und TLS?;SSL ist sicherer;TLS ist der modernere und sicherere Nachfolger von SSL;Es gibt keinen Unterschied;SSL wird für E-Mails, TLS für Webseiten verwendet;b;SSL gilt heute als veraltet und sollte nicht mehr verwendet werden.;mittel;IHK;LF4
FISI-SEC-066;ALLE;IT-SEC-GRUND;Web;SC;Was ist SQL-Injection?;Ein Datenbank-Backup;Einschleusen von schädlichen SQL-Befehlen über Eingabefelder;Ein schnellerer Datenbankzugriff;Automatische Optimierung von Datenbankabfragen;b;Kann zur kompletten Übernahme oder Löschung der Datenbank führen.;schwer;IHK;LF4
FISI-SEC-067;ALLE;IT-SEC-GRUND;Krypto;SC;Was ist ein Hash-Algorithmus (z.B. SHA-256)?;Ein Verschlüsselungsverfahren;Einwegfunktion zur Erzeugung eines festen Prüfwerts;Ein Passwort-Generator;Verfahren zur Komprimierung von Dateien;b;Aus dem Hashwert kann der ursprüngliche Inhalt nicht berechnet werden.;mittel;IHK;LF4
FISI-SEC-068;ALLE;IT-SEC-GRUND;System;SC;Was ist ein Zero-Day-Exploit?;Ein alter Virus;Angriff auf eine bisher unbekannte Sicherheitslücke;Ein sehr schneller Scan;Angriff, der erst nach einem Software-Update erfolgt;b;Es gibt zum Zeitpunkt des Angriffs noch keinen Patch.;schwer;IHK;LF4
FISI-SEC-069;ALLE;IT-SEC-GRUND;Methoden;SC;Was ist ein Honeypot?;Ein sehr schneller Server;Ein Ködersystem zur Ablenkung/Analyse von Angreifern;Ein Antivirus-Tool;Verschlüsselte Speicherpartition für sensible Daten;b;Soll Angreifer vom echten Netzwerk fernhalten.;mittel;IHK;LF4
FISI-SEC-071;ALLE;IT-SEC-GRUND;Backup;SC;Was ist ein Full-Backup?;Nur Änderungen sichern;Komplette Sicherung aller gewählten Daten;Sicherung in die Cloud;Sicherung nur der seit dem letzten Backup geänderten Dateien;b;Basis für jede Backup-Strategie.;leicht;IHK;LF4
FISI-SEC-072;ALLE;IT-SEC-GRUND;Konzepte;SC;Was bedeutet Verfügbarkeit (Availability)?;Daten sind geheim;Systeme und Daten sind bei Bedarf jederzeit zugreifbar;Daten sind korrekt;Daten können nicht verändert werden;b;Teil der CIA-Schutzziele (Confidentiality, Integrity, Availability).;leicht;IHK;LF4
FISI-SEC-073;ALLE;IT-SEC-GRUND;Physisch;SC;Was ist eine Biometrische Zugangskontrolle?;Schlüsselkarte;Erkennung von Körpermerkmalen (Fingerabdruck, Gesicht);Einfaches Passwort;Zugangscode per SMS;b;Schützt sensible Bereiche wie Rechenzentren.;leicht;IHK;LF4
FISI-SEC-074;ALLE;IT-SEC-GRUND;Backup;SC;Was ist ein Bare-Metal-Restore?;Reinigung der Hardware;Wiederherstellung eines Systems direkt auf die Hardware;Backup nur von Word-Dateien;Wiederherstellung einzelner Dateien aus der Cloud;b;Erfordert kein vorher installiertes Betriebssystem.;schwer;IHK;LF4
FISI-SEC-077;ALLE;IT-SEC-GRUND;Angriffe;SC;Was ist Sniffing?;Hacken von Passwörtern;Abhören von Netzwerkverkehr mit spezieller Software;Virenscan;Manipulation von Datenpaketen während der Übertragung;b;Gefährlich in unverschlüsselten Netzwerken (z.B. offenes WLAN).;mittel;IHK;LF4
FISI-SEC-078;ALLE;IT-SEC-GRUND;Methoden;SC;Was ist eine Sandbox?;Ein Spiel;Isolierte Umgebung zur Analyse verdächtiger Dateien;Ein Cloud-Speicher;Physisch getrennter Netzwerkbereich für Gäste;b;Schützt das Produktivsystem vor Infektionen.;leicht;IHK;LF4
FISI-SEC-079;ALLE;IT-SEC-GRUND;Krypto;SC;Was ist Steganografie?;Verschlüsselung;Verstecken von Infos in harmlosen Trägermedien (z.B. Bildern);Ein Hash-Verfahren;Digitale Signatur von Dokumenten;b;Ziel: Die Existenz der Nachricht geheim halten.;schwer;IHK;LF4
FISI-SEC-081;ALLE;IT-SEC-GRUND;Malware;SC;Was ist ein Trojaner?;Ein nützliches Programm;Schadsoftware, die sich als nützliche Anwendung tarnt;Ein schneller PC;Schadsoftware, die sich selbstständig über Netzwerke repliziert;b;Der Nutzer installiert den Schädling meist selbst im Glauben, es sei ein Tool.;leicht;IHK;LF4
FISI-SEC-082;ALLE;IT-SEC-GRUND;Authentifizierung;SC;Was ist ein Token?;Ein Virus;Hardware- oder Software-Komponente zur Identifizierung (z.B. RSA-Token);Ein langes Passwort;Software zur Verschlüsselung von Festplatten;b;Häufiger Teil einer Mehrfaktor-Authentifizierung.;mittel;IHK;LF4
FISI-SEC-086;ALLE;IT-SEC-GRUND;Angriffe;SC;Was ist Spoofing?;Hacken der CPU;Vortäuschen einer falschen Identität (z.B. IP oder E-Mail);Virenscan;Überlastung eines Servers durch massenhafte Anfragen;b;Häufig genutzt, um Sicherheitskontrollen zu umgehen.;mittel;IHK;LF4
FISI-SEC-087;ALLE;IT-SEC-GRUND;Krypto;SC;Was ist eine Digitale Signatur?;Ein Foto der Unterschrift;Kryptografisches Verfahren zur Sicherung der Authentizität;Ein Passwort;Verfahren zur Verschlüsselung von Datenbanken;b;Garantiert, dass eine Nachricht vom angegebenen Absender stammt.;schwer;IHK;LF4
FISI-SEC-089;ALLE;IT-SEC-GRUND;Krypto;SC;Was ist AES?;Ein Monitorstandard;Advanced Encryption Standard (Symmetrische Verschlüsselung);Ein Netzwerk-Router;Asymmetrisches Verschlüsselungsverfahren;b;Gilt als weltweit sicher und Standard für viele Anwendungen.;mittel;IHK;LF4
FISI-SEC-090;ALLE;IT-SEC-GRUND;Backup;SC;Was ist ein Voll-Backup?;Nur neue Daten;Komplette Sicherung aller Daten;Sicherung in der Cloud;Sicherung nur der geänderten Dateien seit dem letzten Backup;b;Dauert am längsten, ist aber am einfachsten wiederherzustellen.;leicht;IHK;LF4
FISI-SEC-093;ALLE;IT-SEC-GRUND;Verschlüsselung;SC;Was ist ein Salt (Kryptografie)?;Ein Passwort;Zufälliger Wert, der vor dem Hashen an Passwörter angehängt wird;Ein Virus;Ein Verfahren zur Komprimierung von Hashwerten;b;Schützt gegen Angriffe mit Rainbow Tables.;schwer;IHK;LF4
FISI-SEC-094;ALLE;IT-SEC-GRUND;Methoden;SC;Wofür wird Sandboxing in der IT-Sicherheit typischerweise eingesetzt?;Um verdächtige Dateien gefahrlos in einer isolierten Umgebung zu analysieren;Um Daten dauerhaft und unwiderruflich zu löschen;Um Netzwerkkabel physisch zu trennen;Um Passwörter automatisch zu generieren;a;In einer Sandbox lässt sich potenziell schädlicher Code ausführen und beobachten, ohne das eigentliche System zu gefährden.;mittel;IHK;LF4
FISI-SEC-095;ALLE;IT-SEC-GRUND;Policies;SC;Was ist BYOD?;Kauf neuer Hardware;Bring Your Own Device (Eigengeräte im Firmennetz);Virenschutz-Marke;Verpflichtende Nutzung von Firmengeräten;b;Herausforderung für IT-Sicherheit und Datenschutz.;mittel;IHK;LF4
FISI-SEC-096;ALLE;IT-SEC-GRUND;Biometrie;SC;Was ist die False Rejection Rate (FRR)?;System lässt Unbefugte rein;System weist Berechtigte fälschlicherweise ab;Passwort falsch;Zeit, die das System zur Erkennung benötigt;b;Maß für den Komfort eines biometrischen Systems.;schwer;IHK;LF4
