id;fachrichtung;modul_id;thema;typ;frage;option_a;option_b;option_c;option_d;antwort;erklaerung;schwierigkeit;quelle;lernfeld
FISI-SEC-227;FISI;FISI-SEC;Protokolle;SC;Was ist WPA2-Enterprise?;Nur ein Passwort;WLAN-Verschlüsselung mit individuellem Login (Radius);Ein Antivirus;WLAN-Standard ohne Verschlüsselung;b;Sicherer als WPA2-Personal (PSK).;schwer;Zusatz;LF11b
FISI-SEC-229;FISI;FISI-SEC;Krypto;SC;Was ist ein Rainbow Table?;Ein Virenscanner;Vorberechnete Liste von Hashes zum Passwort-Knacken;Ein Backup-Tool;Liste bekannter Sicherheitslücken;b;Wird durch 'Salting' weitgehend unbrauchbar gemacht.;schwer;Zusatz;LF11b
FISI-SEC-232;FISI;FISI-SEC;Methoden;SC;Wozu dient Sandboxing in der IT-Sicherheit?;Verdächtiger Code wird in einer isolierten Umgebung ausgeführt, ohne das eigentliche System zu gefährden;Datenverkehr wird über mehrere Netzwerkknoten gleichzeitig gespiegelt;Passwörter werden vor der Speicherung mit einem Zufallswert versehen;Festplatteninhalte werden nach einem Sicherheitsvorfall vollständig gelöscht;a;In der Sandbox laufende Programme lassen sich auf verdächtiges Verhalten beobachten, ohne dass sie auf das reale System zugreifen können.;mittel;Zusatz;LF11b
FISI-SEC-233;FISI;FISI-SEC;Social Engineering;SC;Was ist charakteristisch für einen Phishing-Angriff?;Gefälschte Nachrichten sollen Empfänger zur Preisgabe von Zugangsdaten verleiten;Ein Server wird mit Anfragen überlastet, bis er nicht mehr reagiert;Schadcode nutzt eine bislang unbekannte Sicherheitslücke aus;Ein Angreifer probiert systematisch mögliche Passwörter durch, bis eines passt;a;Phishing täuscht über gefälschte E-Mails oder Webseiten eine vertrauenswürdige Quelle vor, um an Zugangsdaten zu gelangen.;leicht;Zusatz;LF11b
FISI-SEC-234;FISI;FISI-SEC;Firewall;SC;Wovor schützt eine Web Application Firewall (WAF) speziell?;Vor Angriffen auf Webanwendungen wie SQL-Injection oder Cross-Site-Scripting;Vor physischem Diebstahl von Servern im Rechenzentrum;Vor dem Ausfall der Stromversorgung eines Rechenzentrums;Vor falsch konfigurierten Benutzerrechten in einer Datenbank;a;Eine WAF analysiert HTTP(S)-Datenverkehr auf Anwendungsebene und erkennt Angriffsmuster, die eine klassische Netzwerk-Firewall nicht sieht.;schwer;Zusatz;LF11b
FISI-SEC-235;FISI;FISI-SEC;Methoden;SC;Was macht einen Zero-Day-Exploit besonders gefährlich?;Er nutzt eine Sicherheitslücke aus, für die noch kein Patch existiert;Er verbreitet sich über infizierte USB-Sticks, die an fremden Rechnern angeschlossen werden;Er setzt physischen Zugriff auf das Zielgerät voraus, etwa über eine offene Tastatur;Er wird erst wirksam, sobald der Hersteller den zugehörigen Patch veröffentlicht hat;a;Da noch keine Korrektur verfügbar ist, können Hersteller und Nutzer sich zum Zeitpunkt der Ausnutzung nicht gezielt schützen.;schwer;Zusatz;LF11b
FISI-SEC-236;FISI;FISI-SEC;Technik;SC;Was bedeutet ein "Air Gap" bei besonders schutzbedürftigen Systemen?;Das System hat keinerlei physische oder logische Verbindung zu anderen Netzen, insbesondere nicht zum Internet;Zwischen zwei Serverräumen liegt ein klimatisierter Pufferraum;Die Netzwerkverkabelung verläuft in einem separaten Kabelkanal;Der Server erhält seine IP-Adresse über ein eigenes, aber verbundenes Subnetz;a;Air-Gapped-Systeme lassen sich nur über physischen Zugriff (z. B. USB-Stick) mit Daten versorgen, was Fernangriffe praktisch ausschließt.;schwer;Zusatz;LF11b
FISI-SEC-237;FISI;FISI-SEC;Netzwerksicherheit;SC;Worin unterscheidet sich ein DDoS- von einem einfachen DoS-Angriff?;Beim DDoS greifen viele verteilte Systeme gleichzeitig ein einzelnes Ziel an;Ein DDoS-Angriff nutzt Schadsoftware, ein DoS-Angriff kommt ohne jede Software aus;Ein DoS-Angriff verschlüsselt Daten, ein DDoS-Angriff löscht sie unwiederbringlich;Beim DDoS-Angriff wird wie beim DoS nur ein einzelner Rechner eingesetzt;a;Das zusätzliche D steht für "Distributed" - die Angriffslast verteilt sich auf viele Systeme, was die Abwehr erschwert.;mittel;Zusatz;LF11b
FISI-SEC-238;FISI;FISI-SEC;Zertifikate;SC;Wofür steht eine PKI (Public-Key-Infrastruktur)?;Für die Ausgabe, Verwaltung und Prüfung digitaler Zertifikate und Schlüssel;Für ein Protokoll zur dynamischen Vergabe von IP-Adressen an Endgeräte;Für ein Verfahren zur Komprimierung verschlüsselter Dateien;Für einen Dienst zur zentralen Speicherung von Benutzerpasswörtern;a;Eine PKI umfasst Zertifizierungsstellen, Zertifikate und Prozesse, mit denen sich öffentliche Schlüssel vertrauenswürdig zuordnen lassen.;schwer;Zusatz;LF11b
FISI-SEC-239;FISI;FISI-SEC;Management;SC;Was besagt das Least-Privilege-Prinzip?;Nutzer und Systeme erhalten nur die Rechte, die für ihre Aufgabe tatsächlich nötig sind;Jeder Mitarbeiter erhält von Beginn an Administratorrechte auf allen Systemen;Rechte werden einmalig vergeben und danach nie wieder überprüft;Nur die IT-Abteilung darf überhaupt Zugriffsrechte besitzen;a;Minimale Rechtevergabe begrenzt den Schaden, den ein kompromittiertes Konto oder System anrichten kann.;mittel;Zusatz;LF11b
FISI-SEC-240;FISI;FISI-SEC;Web;SC;Was ist charakteristisch für einen Cross-Site-Request-Forgery-Angriff (CSRF)?;Ein eingeloggter Nutzer wird über eine manipulierte Seite unbemerkt zu einer ungewollten Aktion auf einer anderen Webseite verleitet;Über ein ungeprüftes Formularfeld wird schädlicher Datenbankcode direkt in eine Webanwendung eingeschleust und dort ausgeführt;Ein Angreifer schaltet sich unbemerkt zwischen zwei Kommunikationspartner und liest deren gesamten Datenverkehr passiv mit;Eine Webseite wird mit so vielen Anfragen überflutet, dass sie für reguläre Nutzer nicht mehr erreichbar ist;a;Der Browser schickt bei der Anfrage vorhandene Session-Cookies mit, unabhängig davon, wer die Aktion tatsächlich ausgelöst hat.;mittel;Zusatz;LF11b
FISI-SEC-241;FISI;FISI-SEC;Konzepte;SC;Was ist der Grundgedanke des Zero-Trust-Sicherheitsmodells?;Jeder Zugriff wird unabhängig vom Standort im Netz einzeln geprüft, statt internen Geräten automatisch zu vertrauen;Innerhalb des Firmennetzes vertrauen sich alle Geräte und Nutzer gegenseitig, ohne dass eine weitere Prüfung notwendig ist;Nur Zugriffe, die von außerhalb über das Internet erfolgen, werden kontrolliert, interne Zugriffe bleiben ungeprüft;Ein einmal erfolgreich authentifizierter Nutzer bleibt für die gesamte weitere Sitzungsdauer ohne erneute Prüfung;a;Jede Anfrage wird anhand von Identität, Gerät und Kontext neu bewertet, unabhängig davon, ob sie aus dem internen Netz oder von außen kommt.;schwer;Zusatz;LF11b
FISI-SEC-242;FISI;FISI-SEC;System;SC;Wofür steht EDR (Endpoint Detection and Response) im Unterschied zu klassischem Virenschutz?;Kontinuierliche Überwachung von Endgeräten mit Möglichkeit zur automatisierten Reaktion auf erkannte Bedrohungen;Ein Programm, das eingehende Dateien lediglich mit einer lokal gespeicherten Liste bekannter Virensignaturen abgleicht;Ein Dienst, der eingehende E-Mail-Anhänge auf enthaltenen Schadcode hin überprüft, sonst aber nichts überwacht;Ein Tool zur zentralen Verwaltung und Dokumentation von Softwarelizenzen auf allen Endgeräten im Unternehmen;a;EDR erkennt auch bislang unbekannte Bedrohungen anhand von Verhaltensmustern und ermöglicht eine schnelle Reaktion, nicht nur den Abgleich bekannter Signaturen.;schwer;Zusatz;LF11b
FISI-SEC-243;FISI;FISI-SEC;Management;SC;Wozu dient Privileged Access Management (PAM)?;Zentrale Verwaltung, Überwachung und zeitliche Begrenzung des Zugriffs besonders weitreichender Benutzerkonten;Standardmäßige Vergabe von Administratorrechten an jeden neuen Mitarbeiter direkt am ersten Arbeitstag;Verschlüsselung des gesamten Datenverkehrs zwischen zwei Unternehmensstandorten über eine gesicherte Leitung;Regelmäßige Sicherung wichtiger Unternehmensdaten auf mehreren räumlich getrennten Speicherorten;a;PAM sorgt dafür, dass privilegierte Konten nur zeitlich begrenzt und mit Protokollierung genutzt werden, um Missbrauch zu erschweren.;schwer;Zusatz;LF11b
FISI-SEC-244;FISI;FISI-SEC;Netzwerksicherheit;SC;Welchen Sicherheitsvorteil bietet Netzwerksegmentierung (z. B. über VLANs)?;Ein bereits kompromittiertes Gerät kann sich dadurch nicht mehr ungehindert im gesamten Netz ausbreiten;Der gesamte Datenverkehr im Netz wird dadurch zusätzlich Ende-zu-Ende verschlüsselt übertragen;Nutzer müssen ihre Passwörter dadurch seltener als sonst üblich ändern;Die Internetverbindung für alle Mitarbeiter wird durch die Aufteilung spürbar beschleunigt;a;Durch die Aufteilung in Segmente bleibt ein Angriff auf einen Teilbereich begrenzt, statt sich frei im gesamten Netz auszubreiten.;mittel;Zusatz;LF11b
FISI-SEC-245;FISI;FISI-SEC;Management;SC;Welche Phase gehört zu einem typischen Incident-Response-Prozess?;Eindämmung (Containment) des Vorfalls, um weiteren Schaden zu verhindern;Sofortige und vollständige Löschung aller betroffenen Systeme ohne vorherige Analyse;Nur die nachträgliche Information der Geschäftsleitung per E-Mail, ohne technische Schritte;Einmalige jährliche Überprüfung der Firewall-Regeln;a;Typische Phasen sind u. a. Vorbereitung, Erkennung, Eindämmung, Beseitigung und Nachbereitung eines Sicherheitsvorfalls.;mittel;Zusatz;LF11b
FISI-SEC-246;FISI;FISI-SEC;System;SC;Was ist die Aufgabe von Data-Loss-Prevention-Systemen (DLP)?;Den unerwünschten Abfluss sensibler Unternehmensdaten nach außen erkennen und rechtzeitig verhindern;Verlorene Daten nach einem Festplattendefekt wiederherstellen, sofern zuvor ein Backup angelegt wurde;Fehlerhafte oder widersprüchliche Datenbankeinträge eigenständig erkennen und korrigieren;Die Übertragungsgeschwindigkeit von Backups auf externen Speichermedien spürbar erhöhen;a;DLP-Systeme überwachen Datenflüsse, etwa per E-Mail oder USB, und blockieren die Übertragung als vertraulich eingestufter Inhalte.;mittel;Zusatz;LF11b
FISI-SEC-247;FISI;FISI-SEC;Management;SC;Wozu dient Mobile Device Management (MDM) in Unternehmen?;Zentrale Verwaltung, Konfiguration und Absicherung dienstlich genutzter Mobilgeräte;Verwaltung der Mobilfunkverträge und Rechnungen für alle Mitarbeiter;Aktualisierung der Betriebssystem-Sprache auf allen Geräten nach Vorgabe der IT;Bereitstellung von kostenlosem WLAN für Firmenbesucher;a;Über MDM lassen sich Sicherheitsrichtlinien durchsetzen und Geräte im Verlustfall aus der Ferne sperren oder löschen.;mittel;Zusatz;LF11b
